Ticker,CompanyName,LineItem,Year,Quarter,WebFiscalPeriod,OutputOrField,NumberOnly,LineSequence,Category,WebNumberFormat,QuarterEndDate,PeriodType,iDataType,Sector,Industry,SubIndustry,UpdateDate,LTCode,Currency,UIC,Period,Restatement,InSncUpdateDate,Scaler
ORLY,O'Reilly Automotive Inc,Rental Expenses,2016,4Q,4Q16,A,283.253,111,KM,N,12/31/2016,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2017,KM_S_157,USD,I_106-179,Q4,0,2/7/2017,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2016,FY,2016,A,283.253,111,KM,N,12/31/2016,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2017,KM_S_157,USD,I_106-179,FY,0,2/7/2017,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2017,1Q,1Q17,A,288.17,111,KM,N,3/31/2017,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/26/2017,KM_S_157,USD,I_106-179,Q1,0,4/26/2017,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2017,2Q,2Q17,A,290.62,111,KM,N,6/30/2017,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/26/2017,KM_S_157,USD,I_106-179,Q2,0,7/26/2017,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2017,3Q,3Q17,A,295.083,111,KM,N,9/30/2017,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/25/2017,KM_S_157,USD,I_106-179,Q3,0,10/25/2017,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2017,4Q,4Q17,A,298.614,111,KM,N,12/31/2017,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2018,KM_S_157,USD,I_106-179,Q4,0,2/7/2018,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2017,FY,2017,A,298.614,111,KM,N,12/31/2017,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2018,KM_S_157,USD,I_106-179,FY,0,2/7/2018,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2018,1Q,1Q18,A,301.822,111,KM,N,3/31/2018,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/25/2018,KM_S_157,USD,I_106-179,Q1,0,4/25/2018,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2018,2Q,2Q18,A,308.566,111,KM,N,6/30/2018,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/25/2018,KM_S_157,USD,I_106-179,Q2,0,7/25/2018,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2018,3Q,3Q18,A,312.793,111,KM,N,9/30/2018,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/25/2018,KM_S_157,USD,I_106-179,Q3,0,10/25/2018,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2018,4Q,4Q18,A,317.283,111,KM,N,12/31/2018,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/6/2019,KM_S_157,USD,I_106-179,Q4,0,2/6/2019,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2018,FY,2018,A,317.283,111,KM,N,12/31/2018,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/6/2019,KM_S_157,USD,I_106-179,FY,0,2/6/2019,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2019,1Q,1Q19,A,322.881,111,KM,N,3/31/2019,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/24/2019,KM_S_157,USD,I_106-179,Q1,0,4/24/2019,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2019,2Q,2Q19,A,328.529,111,KM,N,6/30/2019,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/24/2019,KM_S_157,USD,I_106-179,Q2,0,7/24/2019,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2019,3Q,3Q19,A,334.249,111,KM,N,9/30/2019,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/23/2019,KM_S_157,USD,I_106-179,Q3,0,10/23/2019,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2019,4Q,4Q19,A,338.697,111,KM,N,12/31/2019,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/5/2020,KM_S_157,USD,I_106-179,Q4,0,2/5/2020,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2019,FY,2019,A,338.697,111,KM,N,12/31/2019,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/5/2020,KM_S_157,USD,I_106-179,FY,0,2/5/2020,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2020,1Q,1Q20,A,342.908,111,KM,N,3/31/2020,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/22/2020,KM_S_157,USD,I_106-179,Q1,0,4/22/2020,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2020,2Q,2Q20,A,345.53,111,KM,N,6/30/2020,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/29/2020,KM_S_157,USD,I_106-179,Q2,0,7/29/2020,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2020,3Q,3Q20,A,348.926,111,KM,N,9/30/2020,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/28/2020,KM_S_157,USD,I_106-179,Q3,0,10/28/2020,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2020,4Q,4Q20,A,354.316,111,KM,N,12/31/2020,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/10/2021,KM_S_157,USD,I_106-179,Q4,0,2/10/2021,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2020,FY,2020,A,354.316,111,KM,N,12/31/2020,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/10/2021,KM_S_157,USD,I_106-179,FY,0,2/10/2021,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2021,1Q,1Q21,A,358.653,111,KM,N,3/31/2021,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/28/2021,KM_S_157,USD,I_106-179,Q1,0,4/28/2021,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2021,2Q,2Q21,A,363.766,111,KM,N,6/30/2021,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/28/2021,KM_S_157,USD,I_106-179,Q2,0,7/28/2021,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2021,3Q,3Q21,A,367.676,111,KM,N,9/30/2021,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/27/2021,KM_S_157,USD,I_106-179,Q3,0,10/27/2021,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2021,4Q,4Q21,A,372.022,111,KM,N,12/31/2021,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/9/2022,KM_S_157,USD,I_106-179,Q4,0,2/9/2022,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2021,FY,2021,A,372.022,111,KM,N,12/31/2021,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/9/2022,KM_S_157,USD,I_106-179,FY,0,2/9/2022,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2022,1Q,1Q22,A,375.942,111,KM,N,3/31/2022,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/27/2022,KM_S_157,USD,I_106-179,Q1,0,4/27/2022,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2022,2Q,2Q22,A,380.417,111,KM,N,6/30/2022,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/27/2022,KM_S_157,USD,I_106-179,Q2,0,7/27/2022,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2022,3Q,3Q22,A,386.409,111,KM,N,9/30/2022,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/26/2022,KM_S_157,USD,I_106-179,Q3,0,10/26/2022,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2022,4Q,4Q22,A,393.032,111,KM,N,12/31/2022,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/8/2023,KM_S_157,USD,I_106-179,Q4,0,2/8/2023,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2022,FY,2022,A,393.032,111,KM,N,12/31/2022,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/8/2023,KM_S_157,USD,I_106-179,FY,0,2/8/2023,Mn
ORLY,O'Reilly Automotive Inc,Rental Expenses,2023,1Q,1Q23,A,400.831,111,KM,N,3/31/2023,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/26/2023,KM_S_157,USD,I_106-179,Q1,0,4/26/2023,Mn
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2010,1Q,1Q10,A,2.059364697,112,KM,X,3/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/28/2010,KM_S_158,,I_106-180,Q1,0,4/28/2010,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2010,2Q,2Q10,A,1.843151456,112,KM,X,6/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/28/2010,KM_S_158,,I_106-180,Q2,0,7/28/2010,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2010,3Q,3Q10,A,1.598662814,112,KM,X,9/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/27/2010,KM_S_158,,I_106-180,Q3,0,10/27/2010,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2010,4Q,4Q10,A,1.484022406,112,KM,X,12/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/16/2011,KM_S_158,,I_106-180,Q4,0,2/16/2011,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2010,FY,2010,A,1.6,112,KM,X,12/31/2010,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/16/2011,KM_S_158,,I_106-180,FY,0,2/16/2011,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2011,1Q,1Q11,A,1.637568548,112,KM,X,3/31/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/27/2011,KM_S_158,,I_106-180,Q1,0,4/27/2011,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2011,2Q,2Q11,A,1.617356451,112,KM,X,6/30/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/27/2011,KM_S_158,,I_106-180,Q2,0,7/27/2011,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2011,3Q,3Q11,A,1.812285156,112,KM,X,9/30/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/26/2011,KM_S_158,,I_106-180,Q3,0,10/26/2011,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2011,4Q,4Q11,A,1.79087179,112,KM,X,12/31/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/8/2012,KM_S_158,,I_106-180,Q4,0,2/8/2012,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2011,FY,2011,A,1.79087179,112,KM,X,12/31/2011,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/8/2012,KM_S_158,,I_106-180,FY,0,2/8/2012,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2012,1Q,1Q12,A,1.79737753,112,KM,X,3/31/2012,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/22/2012,KM_S_158,,I_106-180,Q1,0,4/22/2012,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2012,2Q,2Q12,A,1.945776496,112,KM,X,6/30/2012,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/25/2012,KM_S_158,,I_106-180,Q2,0,7/25/2012,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2012,3Q,3Q12,A,1.905338665,112,KM,X,9/30/2012,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/24/2012,KM_S_158,,I_106-180,Q3,0,10/24/2012,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2012,4Q,4Q12,A,1.871425382,112,KM,X,12/31/2012,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/6/2013,KM_S_158,,I_106-180,Q4,0,2/6/2013,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2012,FY,2012,A,1.871425382,112,KM,X,12/31/2012,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/6/2013,KM_S_158,,I_106-180,FY,0,2/6/2013,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2013,1Q,1Q13,A,1.84,112,KM,X,3/31/2013,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/24/2013,KM_S_158,,I_106-180,Q1,0,4/24/2013,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2013,2Q,2Q13,A,1.98,112,KM,X,6/30/2013,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/24/2013,KM_S_158,,I_106-180,Q2,0,7/24/2013,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2013,3Q,3Q13,A,1.94,112,KM,X,9/30/2013,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/23/2013,KM_S_158,,I_106-180,Q3,0,10/23/2013,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2013,4Q,4Q13,A,1.9,112,KM,X,12/31/2013,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/5/2014,KM_S_158,,I_106-180,Q4,0,2/5/2014,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2013,FY,2013,A,1.9,112,KM,X,12/31/2013,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/5/2014,KM_S_158,,I_106-180,FY,0,2/5/2014,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2014,1Q,1Q14,A,1.86,112,KM,X,3/31/2014,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/23/2014,KM_S_158,,I_106-180,Q1,0,4/23/2014,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2014,2Q,2Q14,A,1.81,112,KM,X,6/30/2014,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/23/2014,KM_S_158,,I_106-180,Q2,0,7/23/2014,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2014,3Q,3Q14,A,1.57,112,KM,X,9/30/2014,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/22/2014,KM_S_158,,I_106-180,Q3,0,10/22/2014,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2014,4Q,4Q14,A,1.72,112,KM,X,12/31/2014,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2015,KM_S_158,,I_106-180,Q4,0,2/7/2015,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2014,FY,2014,A,1.72,112,KM,X,12/31/2014,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2015,KM_S_158,,I_106-180,FY,0,2/7/2015,Mtl
